TITLE = ""
VARIABLES ="simulation time, " "Aqueous Volumetric Flux Rate (1)" "Aqueous Volumetric Flux Integral (1)" "Conservation Component Species Flux (total_cr6) Rate (2)" "Conservation Component Species Flux (total_cr6) Integral (2)"
ZONE T="Reference Node Variables" F=POINT
2.014000E+03 -7.877609E+02 -2.156772E-06 0.000000E+00 0.000000E+00
2.014000E+03 -7.877609E+02 -4.852736E-06 1.471380E-11 3.178415E-19
2.014000E+03 -7.877609E+02 -8.222692E-06 3.310604E-11 1.211771E-18
2.014000E+03 -7.877609E+02 -1.243514E-05 5.609634E-11 3.105163E-18
2.014000E+03 -7.877609E+02 -1.770069E-05 8.483421E-11 6.684371E-18
2.014000E+03 -7.877609E+02 -2.428264E-05 1.207565E-10 1.305287E-17
2.014000E+03 -7.877609E+02 -3.251007E-05 1.656594E-10 2.397361E-17
2.014000E+03 -7.877609E+02 -4.279436E-05 2.217880E-10 4.224974E-17
2.014000E+03 -7.877609E+02 -5.564972E-05 2.919487E-10 7.232177E-17
2.014000E+03 -7.877609E+02 -7.171892E-05 3.796496E-10 1.212037E-16
2.014000E+03 -7.877609E+02 -9.180542E-05 4.892756E-10 1.999500E-16
2.014000E+03 -7.877609E+02 -1.169136E-04 6.263079E-10 3.259512E-16
2.014000E+03 -7.877609E+02 -1.482987E-04 7.975982E-10 5.265280E-16
2.014000E+03 -7.877609E+02 -1.875302E-04 1.011711E-09 8.445543E-16
2.014000E+03 -7.877609E+02 -2.365695E-04 1.279351E-09 1.347252E-15
2.014000E+03 -7.877609E+02 -2.978686E-04 1.613900E-09 2.139943E-15
2.014000E+03 -7.877609E+02 -3.744925E-04 2.032086E-09 3.387555E-15
2.014000E+03 -7.877609E+02 -4.702724E-04 2.554817E-09 5.348238E-15
2.014000E+03 -7.877609E+02 -5.899973E-04 3.208227E-09 8.425916E-15
2.014000E+03 -7.877609E+02 -7.396534E-04 4.024985E-09 1.325242E-14
2.014000E+03 -7.877609E+02 -9.267236E-04 5.045927E-09 2.081588E-14
2.014000E+03 -7.877609E+02 -1.160561E-03 6.322093E-09 3.266131E-14
2.014000E+03 -7.877609E+02 -1.452858E-03 7.917284E-09 5.120421E-14
2.014000E+03 -7.877609E+02 -1.818230E-03 9.911248E-09 8.022042E-14
2.014000E+03 -7.877610E+02 -2.274944E-03 1.240366E-08 1.256129E-13
2.014000E+03 -7.877610E+02 -2.845837E-03 1.551912E-08 1.966069E-13
2.014000E+03 -7.877611E+02 -3.559453E-03 1.941334E-08 3.076209E-13
2.014000E+03 -7.877612E+02 -4.451473E-03 2.428096E-08 4.811887E-13
2.014000E+03 -7.877613E+02 -5.566498E-03 3.036525E-08 7.525250E-13
2.014000E+03 -7.877615E+02 -6.960281E-03 3.797024E-08 1.176662E-12
2.014000E+03 -7.877617E+02 -8.702509E-03 4.747589E-08 1.839600E-12
2.014000E+03 -7.877620E+02 -1.088029E-02 5.935704E-08 2.875731E-12
2.014000E+03 -7.877625E+02 -1.360253E-02 7.420706E-08 4.495071E-12
2.014000E+03 -7.877631E+02 -1.700532E-02 9.276737E-08 7.025816E-12
2.014000E+03 -7.877638E+02 -2.125882E-02 1.159643E-07 1.098085E-11
2.014000E+03 -7.877648E+02 -2.657570E-02 1.449550E-07 1.716169E-11
2.014000E+03 -7.877660E+02 -3.322181E-02 1.811850E-07 2.682097E-11
2.014000E+03 -7.877674E+02 -4.152946E-02 2.264593E-07 4.191638E-11
2.014000E+03 -7.877692E+02 -5.191405E-02 2.830318E-07 6.550773E-11
2.014000E+03 -7.877714E+02 -6.489482E-02 3.537155E-07 1.023777E-10
2.014000E+03 -7.877740E+02 -8.112084E-02 4.420204E-07 1.600025E-10
2.014000E+03 -7.877771E+02 -1.014034E-01 5.523246E-07 2.500706E-10
2.014000E+03 -7.877807E+02 -1.267568E-01 6.900852E-07 3.908578E-10
2.014000E+03 -7.877851E+02 -1.584487E-01 8.621008E-07 6.109454E-10
2.014000E+03 -7.877901E+02 -1.980638E-01 1.076834E-06 9.550426E-10
2.014000E+03 -7.877958E+02 -2.475830E-01 1.344810E-06 1.493106E-09
2.014000E+03 -7.878024E+02 -3.094826E-01 1.679105E-06 2.334640E-09
2.014000E+03 -7.878100E+02 -3.868578E-01 2.095941E-06 3.651130E-09
2.014001E+03 -7.878186E+02 -4.835779E-01 2.615421E-06 5.711298E-09
2.014001E+03 -7.878284E+02 -6.044795E-01 3.262415E-06 8.936545E-09
2.014001E+03 -7.878396E+02 -7.556087E-01 4.067647E-06 1.398835E-08
2.014001E+03 -7.878523E+02 -9.445231E-01 5.069017E-06 2.190632E-08
2.014001E+03 -7.878667E+02 -1.180671E+00 6.313228E-06 3.432690E-08
2.014002E+03 -7.878829E+02 -1.475861E+00 7.857793E-06 5.383099E-08
2.014002E+03 -7.879009E+02 -1.844857E+00 9.773540E-06 8.449917E-08
2.014003E+03 -7.879207E+02 -2.306114E+00 1.214777E-05 1.328027E-07
2.014004E+03 -7.879419E+02 -2.882701E+00 1.508827E-05 2.090426E-07
2.014005E+03 -7.879643E+02 -3.603455E+00 1.872842E-05 3.296898E-07
2.014006E+03 -7.879873E+02 -4.504424E+00 2.323373E-05 5.212224E-07
2.014007E+03 -7.880103E+02 -5.630668E+00 2.881002E-05 8.264684E-07
2.014009E+03 -7.880326E+02 -7.038512E+00 3.571364E-05 1.315187E-06
2.014011E+03 -7.880536E+02 -8.798365E+00 4.426388E-05 2.101876E-06
2.014014E+03 -7.880727E+02 -1.095599E+01 5.486370E-05 3.349881E-06
2.014017E+03 -7.880873E+02 -1.311366E+01 6.781421E-05 4.944642E-06
2.014019E+03 -7.880987E+02 -1.527135E+01 8.066029E-05 6.904487E-06
2.014022E+03 -7.881078E+02 -1.742907E+01 9.341899E-05 9.247375E-06
2.014025E+03 -7.881153E+02 -1.958682E+01 1.061016E-04 1.199088E-05
2.014028E+03 -7.881215E+02 -2.174458E+01 1.187158E-04 1.515216E-05
2.014030E+03 -7.881268E+02 -2.390235E+01 1.312672E-04 1.874801E-05
2.014033E+03 -7.881313E+02 -2.606014E+01 1.437597E-04 2.279479E-05
2.014036E+03 -7.881353E+02 -2.821793E+01 1.561965E-04 2.730848E-05
2.014039E+03 -7.881387E+02 -3.037574E+01 1.685800E-04 3.230467E-05
2.014041E+03 -7.881418E+02 -3.253355E+01 1.809124E-04 3.779856E-05
2.014044E+03 -7.881445E+02 -3.469137E+01 1.931952E-04 4.380498E-05
2.014047E+03 -7.881470E+02 -3.684920E+01 2.054299E-04 5.033837E-05
2.014049E+03 -7.881492E+02 -3.900704E+01 2.176178E-04 5.741285E-05
2.014052E+03 -7.881512E+02 -4.116488E+01 2.297601E-04 6.504213E-05
2.014055E+03 -7.881530E+02 -4.332272E+01 2.418577E-04 7.323961E-05
2.014058E+03 -7.881546E+02 -4.548057E+01 2.539114E-04 8.201832E-05
2.014060E+03 -7.881561E+02 -4.763843E+01 2.659222E-04 9.139095E-05
2.014063E+03 -7.881575E+02 -4.979629E+01 2.778906E-04 1.013699E-04
2.014066E+03 -7.881588E+02 -5.195415E+01 2.898173E-04 1.119672E-04
2.014069E+03 -7.881599E+02 -5.411201E+01 3.017028E-04 1.231946E-04
2.014071E+03 -7.881610E+02 -5.626988E+01 3.135477E-04 1.350635E-04
2.014074E+03 -7.881620E+02 -5.842775E+01 3.253523E-04 1.475849E-04
2.014077E+03 -7.881629E+02 -6.058562E+01 3.371171E-04 1.607698E-04
2.014080E+03 -7.881638E+02 -6.274350E+01 3.488425E-04 1.746286E-04
