TITLE = ""
VARIABLES ="simulation time, " "Aqueous Volumetric Flux Rate (1)" "Aqueous Volumetric Flux Integral (1)" "Conservation Component Species Flux (total_cr6) Rate (2)" "Conservation Component Species Flux (total_cr6) Integral (2)"
ZONE T="Reference Node Variables" F=POINT
2.014000E+03 -1.392811E+05 -3.813309E-04 0.000000E+00 0.000000E+00
2.014000E+03 -1.334835E+05 -8.381532E-04 0.000000E+00 0.000000E+00
2.014000E+03 -1.266594E+05 -1.379989E-03 0.000000E+00 0.000000E+00
2.014000E+03 -1.187406E+05 -2.014938E-03 0.000000E+00 0.000000E+00
2.014000E+03 -1.097101E+05 -2.748263E-03 0.000000E+00 0.000000E+00
2.014000E+03 -9.962908E+04 -3.580690E-03 0.000000E+00 0.000000E+00
2.014000E+03 -8.866352E+04 -4.506698E-03 0.000000E+00 0.000000E+00
2.014000E+03 -7.710508E+04 -5.513312E-03 0.000000E+00 0.000000E+00
2.014000E+03 -6.537448E+04 -6.580149E-03 0.000000E+00 0.000000E+00
2.014000E+03 -5.399648E+04 -7.681600E-03 0.000000E+00 0.000000E+00
2.014000E+03 -4.353807E+04 -8.791744E-03 0.000000E+00 0.000000E+00
2.014000E+03 -3.451338E+04 -9.891781E-03 0.000000E+00 0.000000E+00
2.014000E+03 -2.727665E+04 -1.097851E-02 0.000000E+00 0.000000E+00
2.014000E+03 -2.194056E+04 -1.207118E-02 0.000000E+00 0.000000E+00
2.014000E+03 -1.835797E+04 -1.321399E-02 0.000000E+00 0.000000E+00
2.014000E+03 -1.618215E+04 -1.447319E-02 0.000000E+00 0.000000E+00
2.014000E+03 -1.498163E+04 -1.593042E-02 0.000000E+00 0.000000E+00
2.014000E+03 -1.435714E+04 -1.767604E-02 0.000000E+00 0.000000E+00
2.014000E+03 -1.401264E+04 -1.980570E-02 0.000000E+00 0.000000E+00
2.014000E+03 -1.376658E+04 -2.242102E-02 0.000000E+00 0.000000E+00
2.014000E+03 -1.352276E+04 -2.563228E-02 0.000000E+00 0.000000E+00
2.014000E+03 -1.323050E+04 -2.955960E-02 0.000000E+00 0.000000E+00
2.014000E+03 -1.284930E+04 -3.432731E-02 0.000000E+00 0.000000E+00
2.014000E+03 -1.228398E+04 -4.002474E-02 0.000000E+00 0.000000E+00
2.014000E+03 -6.893550E+03 -4.402136E-02 0.000000E+00 0.000000E+00
2.014000E+03 -5.215160E+03 -4.780080E-02 0.000000E+00 0.000000E+00
2.014000E+03 -4.884933E+03 -5.222596E-02 0.000000E+00 0.000000E+00
2.014000E+03 -4.679787E+03 -5.752511E-02 0.000000E+00 0.000000E+00
2.014000E+03 -4.452458E+03 -6.382728E-02 0.000000E+00 0.000000E+00
2.014000E+03 -4.187383E+03 -7.123599E-02 0.000000E+00 0.000000E+00
2.014000E+03 -3.881311E+03 -7.981997E-02 0.000000E+00 0.000000E+00
2.014000E+03 -3.533382E+03 -8.958809E-02 0.000000E+00 0.000000E+00
2.014000E+03 -3.145192E+03 -1.004568E-01 0.000000E+00 0.000000E+00
2.014000E+03 -2.721726E+03 -1.122135E-01 0.000000E+00 0.000000E+00
2.014000E+03 -2.272511E+03 -1.244838E-01 0.000000E+00 0.000000E+00
2.014000E+03 -1.812813E+03 -1.367191E-01 0.000000E+00 0.000000E+00
2.014000E+03 -1.363968E+03 -1.482264E-01 0.000000E+00 0.000000E+00
2.014000E+03 -9.503434E+02 -1.582485E-01 0.000000E+00 0.000000E+00
2.014000E+03 -5.901228E+02 -1.660277E-01 0.000000E+00 0.000000E+00
2.014000E+03 -2.837785E+02 -1.707037E-01 0.000000E+00 0.000000E+00
2.014000E+03 -1.529997E+01 -1.710189E-01 0.000000E+00 0.000000E+00
2.014000E+03 1.892585E+02 -1.661461E-01 0.000000E+00 0.000000E+00
2.014000E+03 6.939899E+02 -1.438112E-01 0.000000E+00 0.000000E+00
2.014000E+03 1.014363E+03 -1.030043E-01 0.000000E+00 0.000000E+00
2.014000E+03 1.231709E+03 -4.106617E-02 0.000000E+00 0.000000E+00
2.014000E+03 1.382325E+03 4.582401E-02 0.000000E+00 0.000000E+00
2.014000E+03 1.492564E+03 1.630985E-01 0.000000E+00 0.000000E+00
2.014000E+03 1.577688E+03 3.180520E-01 0.000000E+00 0.000000E+00
2.014001E+03 1.644803E+03 5.199836E-01 0.000000E+00 0.000000E+00
2.014001E+03 1.697124E+03 7.804273E-01 1.424302E-05 2.185760E-09
2.014001E+03 1.737035E+03 1.113638E+00 3.164793E-05 8.256697E-09
2.014001E+03 1.767106E+03 1.537362E+00 5.270855E-05 2.089537E-08
2.014001E+03 1.789818E+03 2.073824E+00 1.061979E-04 5.272609E-08
2.014002E+03 1.807125E+03 2.750887E+00 1.750883E-04 1.183251E-07
2.014002E+03 1.820389E+03 3.603427E+00 2.630927E-04 2.415389E-07
2.014003E+03 1.830563E+03 4.675057E+00 3.714567E-04 4.589936E-07
2.014004E+03 1.838372E+03 6.020310E+00 5.053116E-04 8.287620E-07
2.014005E+03 1.844381E+03 7.707372E+00 6.711365E-04 1.442653E-06
2.014006E+03 1.849025E+03 9.821510E+00 8.770411E-04 2.445444E-06
2.014007E+03 1.852630E+03 1.246933E+01 1.135327E-03 4.068082E-06
2.014009E+03 1.855438E+03 1.578413E+01 1.458081E-03 6.672990E-06
2.014011E+03 1.857622E+03 1.993251E+01 1.859705E-03 1.082602E-05
2.014014E+03 1.859287E+03 2.502296E+01 2.358803E-03 1.728407E-05
2.014017E+03 1.860384E+03 3.011641E+01 2.965614E-03 2.540348E-05
2.014019E+03 1.861142E+03 3.521194E+01 3.570540E-03 3.517908E-05
2.014022E+03 1.861687E+03 4.030896E+01 4.172916E-03 4.660391E-05
2.014025E+03 1.862080E+03 4.540706E+01 4.771845E-03 5.966850E-05
2.014028E+03 1.862349E+03 5.050589E+01 5.366139E-03 7.436019E-05
2.014030E+03 1.862461E+03 5.560503E+01 5.954605E-03 9.066301E-05
2.014033E+03 1.862553E+03 6.070442E+01 6.551450E-03 1.085999E-04
2.014036E+03 1.862654E+03 6.580409E+01 7.159817E-03 1.282024E-04
2.014039E+03 1.862757E+03 7.090404E+01 7.780298E-03 1.495037E-04
2.014041E+03 1.862858E+03 7.600427E+01 8.413010E-03 1.725373E-04
2.014044E+03 1.862955E+03 8.110476E+01 9.057739E-03 1.973360E-04
2.014047E+03 1.863046E+03 8.620550E+01 9.714044E-03 2.239316E-04
2.014049E+03 1.863131E+03 9.130648E+01 1.038133E-02 2.523541E-04
